date_found,score,title,company,location,source,source_type,job_url,search_term,matched_keywords,strict_id,soft_id
2026-06-09 22:36:23 UTC,15,Process Engineer III,Applied Materials,"Santa Clara, CA, US",indeed,,https://www.indeed.com/viewjob?jk=ec03653643cbf28a,Hardware Engineer New Grad,"new college grad, process engineer, semiconductor",,
2026-06-09 22:36:23 UTC,8,"Hardware Verification Engineer, New College Graduate,",Teradyne,"North Reading, MA, US",indeed,,https://www.indeed.com/viewjob?jk=8a73785bf02bf4f0,Electrical Engineer New Grad,"new college grad, electrical engineer",,
2026-06-09 22:36:23 UTC,8,Electrical Development Engineer,Ensign-Bickford Aerospace & Defense Company,"Simsbury, CT, US",indeed,,https://www.indeed.com/viewjob?jk=c77d9829b45b0b50,Electrical Engineer New Grad,new grad,,
2026-06-09 22:36:23 UTC,8,Electrical Development Engineer,Ensign-Bickford Aerospace & Defense Company,"Simsbury, CT, US",indeed,,https://www.indeed.com/viewjob?jk=4dea1cd9fc7a44d3,Electrical Engineer New Grad,new grad,,
2026-06-09 22:36:23 UTC,8,"New Graduate Engineer, Electrical (Starlink)",SpaceX,"Bastrop, TX, US",indeed,,https://www.indeed.com/viewjob?jk=38e125e24a411e56,Electrical Engineer New Grad,"new grad, electrical engineer, failure analysis",,
2026-06-09 22:36:23 UTC,7,Packaging Module Development Engineer,Intel Corporation,"Phoenix, AZ, US",indeed,,https://www.indeed.com/viewjob?jk=123185532a75f257,Electrical Engineer New Grad,"electrical engineer, semiconductor",,
2026-06-09 22:36:23 UTC,5,Highway Project Engineer,Dewberry,"Bloomfield, NJ, US",indeed,,https://www.indeed.com/viewjob?jk=4f4b4c610ad81450,Electrical Engineer New Grad,new grad,,
2026-06-09 22:36:23 UTC,5,"New Graduate Engineer, Launch & Test (Starship)",SpaceX,"TX, US",indeed,,https://www.indeed.com/viewjob?jk=1fa3a93701263fb8,Hardware Engineer New Grad,new grad,,
2026-06-09 22:36:23 UTC,5,Postdoctoral Fellowship - Robotics and AI,Ludo Robotics,"San Francisco, CA, US",indeed,,https://www.indeed.com/viewjob?jk=4f28cfe2d11dc04b,Hardware Engineer New Grad,new grad,,
2026-06-09 22:36:23 UTC,4,Production Engineer,DuPont,"Edina, MN, US",indeed,,https://www.indeed.com/viewjob?jk=aa6564b8657b8375,Reliability Engineer Entry Level,entry level,,
2026-06-09 22:36:23 UTC,4,Engineer - Associate - Industrial Power Engineering,DTE Energy,"Detroit, MI, US",indeed,,https://www.indeed.com/viewjob?jk=344623d1fbc7453d,Reliability Engineer Entry Level,"entry level, electrical engineer",,
2026-06-09 22:36:23 UTC,4,Analyst (Professional) Commissioning,Dematic,"Wauwatosa, WI, US",indeed,,https://www.indeed.com/viewjob?jk=01a7a500cc8bc947,Reliability Engineer Entry Level,"entry level, electrical engineer",,
2026-06-09 22:36:23 UTC,4,[Entry Level] Korean Bilingual Quality Engineer 1 - Product Liability & Failure Analysis (17518-1),JND,"Plano, TX, US",indeed,,https://www.indeed.com/viewjob?jk=33c7a71c82266562,Reliability Engineer Entry Level,"entry level, failure analysis",,
2026-06-09 22:36:23 UTC,4,[Entry Level] Korean Bilingual Quality Engineer 1 - Product Liability & Failure Analysis (17518-1),JND,"TX, US",indeed,,https://www.indeed.com/viewjob?jk=0d2f3b3fc47fda91,Reliability Engineer Entry Level,"entry level, failure analysis",,
2026-06-09 22:36:23 UTC,0,Advanced Manufacturing & Repair Technology Engineer,GE Vernova,"Greenville, SC, US",indeed,,https://www.indeed.com/viewjob?jk=d400cb12be1552d4,Process Engineer New Grad,manufacturing engineer,,
2026-06-09 22:36:23 UTC,0,Advanced Quality Engineer- Dish,GE Appliances,"Louisville, KY, US",indeed,,https://www.indeed.com/viewjob?jk=98ed1cf6c86b739c,Process Engineer New Grad,manufacturing engineer,,
2026-06-09 22:36:23 UTC,0,Manufacturing Engineer I,"Fulcrum Acoustic, LLC","Whitinsville, MA, US",indeed,,https://www.indeed.com/viewjob?jk=b2118f1fd5abbc0f,Process Engineer New Grad,manufacturing engineer,,
2026-06-09 22:36:23 UTC,0,System Engineer,Idaho Environmental Coalition,"Idaho Falls, ID, US",indeed,,https://www.indeed.com/viewjob?jk=2602b273ed40b1e2,Reliability Engineer Entry Level,electrical engineer,,
2026-06-09 22:36:23 UTC,0,Sustaining Engineer,"OPW, a Dover Company","Hamilton, OH, US",indeed,,https://www.indeed.com/viewjob?jk=ccfa9467ca3a9414,Reliability Engineer Entry Level,product engineer,,
2026-06-09 22:36:23 UTC,0,Transmission Planning Engineer,Associated Electric Cooperative Inc,"Springfield, MO, US",indeed,,https://www.indeed.com/viewjob?jk=11590b3ca004c076,Reliability Engineer Entry Level,electrical engineer,,
2026-06-09 22:36:23 UTC,0,"Electric Distribution Engineer, Associate",Pacific Gas and Electric,"Santa Rosa, CA, US",indeed,,https://www.indeed.com/viewjob?jk=7a3c04ffbe8e86e9,Reliability Engineer Entry Level,electrical engineer,,
2026-06-09 22:36:23 UTC,0,Entry-Level Forensic Civil/Structural Engineer (EI/EIT),U.S. Forensic,"Marietta, GA, US",indeed,,https://www.indeed.com/viewjob?jk=a4b638fa2047a795,Failure Analysis Engineer Entry Level,electrical engineer,,
2026-06-09 23:46:49 UTC,15,Process Engineer III,Applied Materials,"Santa Clara, CA, US",indeed,,https://www.indeed.com/viewjob?jk=ec03653643cbf28a,Hardware Engineer New Grad,"new college grad, process engineer, semiconductor",,
2026-06-09 23:46:49 UTC,8,"Hardware Verification Engineer, New College Graduate,",Teradyne,"North Reading, MA, US",indeed,,https://www.indeed.com/viewjob?jk=8a73785bf02bf4f0,Electrical Engineer New Grad,"new college grad, electrical engineer",,
2026-06-09 23:46:49 UTC,8,Electrical Development Engineer,Ensign-Bickford Aerospace & Defense Company,"Simsbury, CT, US",indeed,,https://www.indeed.com/viewjob?jk=c77d9829b45b0b50,Electrical Engineer New Grad,new grad,,
2026-06-09 23:46:49 UTC,8,Electrical Development Engineer,Ensign-Bickford Aerospace & Defense Company,"Simsbury, CT, US",indeed,,https://www.indeed.com/viewjob?jk=4dea1cd9fc7a44d3,Electrical Engineer New Grad,new grad,,
2026-06-09 23:46:49 UTC,8,"New Graduate Engineer, Electrical (Starlink)",SpaceX,"Bastrop, TX, US",indeed,,https://www.indeed.com/viewjob?jk=38e125e24a411e56,Electrical Engineer New Grad,"new grad, electrical engineer, failure analysis",,
2026-06-09 23:46:49 UTC,7,Packaging Module Development Engineer,Intel Corporation,"Phoenix, AZ, US",indeed,,https://www.indeed.com/viewjob?jk=123185532a75f257,Electrical Engineer New Grad,"electrical engineer, semiconductor",,
2026-06-09 23:46:49 UTC,5,Highway Project Engineer,Dewberry,"Bloomfield, NJ, US",indeed,,https://www.indeed.com/viewjob?jk=4f4b4c610ad81450,Electrical Engineer New Grad,new grad,,
2026-06-09 23:46:49 UTC,5,"New Graduate Engineer, Launch & Test (Starship)",SpaceX,"TX, US",indeed,,https://www.indeed.com/viewjob?jk=1fa3a93701263fb8,Hardware Engineer New Grad,new grad,,
2026-06-09 23:46:49 UTC,5,Postdoctoral Fellowship - Robotics and AI,Ludo Robotics,"San Francisco, CA, US",indeed,,https://www.indeed.com/viewjob?jk=4f28cfe2d11dc04b,Hardware Engineer New Grad,new grad,,
2026-06-09 23:46:49 UTC,4,Production Engineer,DuPont,"Edina, MN, US",indeed,,https://www.indeed.com/viewjob?jk=aa6564b8657b8375,Reliability Engineer Entry Level,entry level,,
2026-06-09 23:46:49 UTC,4,Engineer - Associate - Industrial Power Engineering,DTE Energy,"Detroit, MI, US",indeed,,https://www.indeed.com/viewjob?jk=344623d1fbc7453d,Reliability Engineer Entry Level,"entry level, electrical engineer",,
2026-06-09 23:46:49 UTC,4,[Entry Level] Korean Bilingual Quality Engineer 1 - Product Liability & Failure Analysis (17518-1),JND,"Plano, TX, US",indeed,,https://www.indeed.com/viewjob?jk=33c7a71c82266562,Reliability Engineer Entry Level,"entry level, failure analysis",,
2026-06-09 23:46:49 UTC,4,[Entry Level] Korean Bilingual Quality Engineer 1 - Product Liability & Failure Analysis (17518-1),JND,"TX, US",indeed,,https://www.indeed.com/viewjob?jk=0d2f3b3fc47fda91,Reliability Engineer Entry Level,"entry level, failure analysis",,
2026-06-09 23:46:49 UTC,3,"Internship, Embedded Software Engineer, Optimus (Fall 2026)",Tesla,"Palo Alto, CA, US",indeed,,https://www.indeed.com/viewjob?jk=e90527ab49b22203,Electrical Engineer New Grad,"firmware, embedded",,
2026-06-09 23:46:49 UTC,2,"Materials Analyst, Microscopy",EAG Laboratories,"Phoenix, AZ, US",indeed,,https://www.indeed.com/viewjob?jk=d32df8037c42a646,Process Engineer New Grad,"failure analysis, semiconductor",,
2026-06-09 23:46:49 UTC,0,Advanced Manufacturing & Repair Technology Engineer,GE Vernova,"Greenville, SC, US",indeed,,https://www.indeed.com/viewjob?jk=d400cb12be1552d4,Process Engineer New Grad,manufacturing engineer,,
2026-06-09 23:46:49 UTC,0,Advanced Quality Engineer- Dish,GE Appliances,"Louisville, KY, US",indeed,,https://www.indeed.com/viewjob?jk=98ed1cf6c86b739c,Process Engineer New Grad,manufacturing engineer,,
2026-06-09 23:46:49 UTC,0,Manufacturing Engineer I,"Fulcrum Acoustic, LLC","Whitinsville, MA, US",indeed,,https://www.indeed.com/viewjob?jk=b2118f1fd5abbc0f,Validation Engineer New Grad,manufacturing engineer,,
2026-06-09 23:46:49 UTC,0,System Engineer,Idaho Environmental Coalition,"Idaho Falls, ID, US",indeed,,https://www.indeed.com/viewjob?jk=2602b273ed40b1e2,Reliability Engineer Entry Level,electrical engineer,,
2026-06-09 23:46:49 UTC,0,Sustaining Engineer,"OPW, a Dover Company","Hamilton, OH, US",indeed,,https://www.indeed.com/viewjob?jk=ccfa9467ca3a9414,Reliability Engineer Entry Level,product engineer,,
2026-06-09 23:46:49 UTC,0,Entry-Level Forensic Civil/Structural Engineer (EI/EIT),U.S. Forensic,"Marietta, GA, US",indeed,,https://www.indeed.com/viewjob?jk=a4b638fa2047a795,Failure Analysis Engineer Entry Level,electrical engineer,,
